commit	status	subject	evidence
d15aaee271	n/a	Merge pull request #3627 from deepseek-harness/optimize/release-rehearsal-selfhosted	CI only
eece831b18	n/a	Merge pull request #3629 from deepseek-harness/optimize/python-runtime-selfhosted	CI only
3bb63f9e4e	support	Merge pull request #3632 from deepseek-harness/perf/speed-up-skill	Repository-local upstream agent skill; no shipped Harness runtime
86528bb8a4	support	Merge pull request #3642 from deepseek-harness/fix/python-runtime-hosted-windows	Python runtime CI only
50b0511fe1	n/a	Merge pull request #3466 from deepseek-harness/feat/system-prompt-surface-node-notes	Proposed design notes only; no production source
6ac3258390	n/a	Merge pull request #3640 from deepseek-harness/ci/benchmark-standard-runner	CI only
31090e240a	n/a	Merge pull request #3643 from deepseek-harness/fix/ci-python-runtime-smoke-retry	CI only
403b978c6c	n/a	Merge pull request #3626 from deepseek-harness/optimize/ci-compatible-selfhosted	CI only
ef11a4e007	ported	Merge pull request #3644 from deepseek-harness/fix/environment-prompt-suffix	prompt.go persona prefix/suffix ordering and complete preset behavior
6c4cd033e3	n/a	Merge pull request #3280 from deepseek-harness/fix/ci-node-compile-cache-data-disk	CI only
b53c95e458	frontend	Merge pull request #3664 from deepseek-harness/fix/scroll-follow-pending-sample	Official target client assets
5608528e14	support	Merge pull request #3637 from deepseek-harness/perf/frontend-scenarios	Frontend benchmark scenarios; official client build is verified separately
96ead6091d	ported	feat(subagent): align human inbox controls (#3223)	Human-continuable subagent queue replace/remove/move controls and cold resume tests
4ac4e3d014	n/a	Merge pull request #3668 from deepseek-harness/fix/windows-subagent-teardown-ci	Upstream test/CI teardown only
cb602a0df5	ported	Merge pull request #3507 from deepseek-harness/worktree/3410-model-switch-notice	model selection emits durable user-visible notice; focused test
9d93c57053	replaced	Merge pull request #3672 from deepseek-harness/perf/session-observation-lazy-events	Go projections already fold immutable event slices lazily at read/stream boundaries
9292dd8a2d	ported	feat(workspace): open the workspace in local apps from the web UI (#3409)	Official UI plus authenticated cached routes, complete macOS/Windows/Linux catalog and locators, icon extraction, detached launch and stale-ENOENT refresh
c7e29f4b68	replaced	Merge pull request #2825 from deepseek-harness/codex/subprocess-native-containment	Go process groups, Windows Job sandbox ownership, staged termination and process tests replace Node runner/systemd fallback architecture
82a5fd61a7	generated	Merge pull request #3685 from deepseek-harness/worktree/release-dsh-0.1.3-alpha.2	Target pin, official assets, catalogs, facade and inventory
ba05b7d49d	support	Merge pull request #3413 from deepseek-harness/feat/electron	Electron desktop distribution is separate; Go CLI/web server contract remains supported
b0a7d2ce3b	ported	Merge pull request #2672 from deepseek-harness/xtr/durable-inbox-recovery	Agent inbox recovery, duplicate ID rejection and canonical session queue fixtures
de01754f1e	ported	Merge pull request #3588 from deepseek-harness/worktree-sidebar	workspace-files Host API/change stream plus official dock/sidebar/text-preview assets
c389f96bf3	frontend	Merge pull request #3713 from deepseek-harness/fix/workspace-browser-race	Workspace browser E2E wait only; official target client test fixture
